GrTr 3-Way Gaze,Prob(L),Prob(R)
0.0,0.9681541919708252,0.03184578940272331
0.0,0.9900025129318237,0.009997492656111717
0.0,0.9933979511260986,0.006602075416594744
0.0,0.9931358098983765,0.006864197086542845
0.0,0.9936463832855225,0.006353583186864853
0.0,0.9952540397644043,0.004745990503579378
0.0,0.9952772855758667,0.004722670651972294
0.0,0.9927541613578796,0.007245782297104597
0.0,0.9949547648429871,0.005045270547270775
0.0,0.9952762126922607,0.004723762162029743
0.0,0.9958198070526123,0.004180131480097771
0.0,0.9953633546829224,0.004636632278561592
0.0,0.994152843952179,0.005847213324159384
0.0,0.9952103495597839,0.004789690487086773
0.0,0.9934112429618835,0.006588757038116455
0.0,0.9948607087135315,0.005139318760484457
0.0,0.994669497013092,0.005330437328666449
0.0,0.9912993311882019,0.008700668811798096
0.0,0.9911913275718689,0.008808686397969723
0.0,0.9937068819999695,0.006293169688433409
0.0,0.9944341778755188,0.005565850995481014
0.0,0.9923579096794128,0.00764204328879714
0.0,0.9932971596717834,0.006702815182507038
0.0,0.9955148100852966,0.004485189914703369
0.0,0.9940280914306641,0.00597187178209424
0.0,0.9952844977378845,0.004715548828244209
0.0,0.9945976734161377,0.00540229631587863
0.0,0.9954193830490112,0.00458065140992403
0.0,0.9938778281211853,0.006122186779975891
0.0,0.9959198236465454,0.004080185666680336
0.0,0.9970377683639526,0.002962299156934023
0.0,0.9962514042854309,0.00374866952188313
0.0,0.9963873624801636,0.003612709464505315
0.0,0.9971070885658264,0.0028929186519235373
0.0,0.9956943988800049,0.00430556945502758
0.0,0.9958078861236572,0.004192085471004248
0.0,0.9960135221481323,0.003986547235399485
0.0,0.9903913736343384,0.009608663618564606
0.0,0.9947339296340942,0.005266045220196247
0.0,0.992548406124115,0.007451633922755718
0.0,0.9964858293533325,0.003514224197715521
0.0,0.9964247345924377,0.0035752009134739637
0.0,0.9956749081611633,0.004325045272707939
0.0,0.9958095550537109,0.004190465901046991
0.0,0.9955011010169983,0.00449883658438921
0.0,0.9953148365020752,0.004685165360569954
0.0,0.9960860013961792,0.00391405588015914
0.0,0.9966014623641968,0.0033984901383519173
0.0,0.9925858378410339,0.0074141789227724075
0.0,0.9941338896751404,0.005866074934601784
0.0,0.9957503080368042,0.004249717574566603
0.0,0.9963788390159607,0.003621115814894438
0.0,0.9967027306556702,0.003297262592241168
0.0,0.9964514970779419,0.003548536216840148
0.0,0.9964332580566406,0.003566775470972061
0.0,0.9941486120223999,0.005851447116583586
0.0,0.9966321587562561,0.003367842873558402
0.0,0.9968453049659729,0.0031546929385513067
0.0,0.9956604838371277,0.004339521750807762
0.0,0.9938016533851624,0.0061983573250472546
0.0,0.9962739944458008,0.0037260286044329405
0.0,0.9964693784713745,0.0035306159406900406
1.0,0.6353433728218079,0.36465662717819214
1.0,0.4908853769302368,0.5091146230697632
1.0,0.5769444704055786,0.4230554699897766
1.0,0.5880919098854065,0.4119080603122711
1.0,0.6585068106651306,0.3414932191371918
1.0,0.5680682063102722,0.4319317936897278
1.0,0.5825549364089966,0.4174450635910034
1.0,0.6677745580673218,0.3322254419326782
1.0,0.6059397459030151,0.3940602242946625
1.0,0.5909066796302795,0.40909332036972046
1.0,0.5645791292190552,0.4354209005832672
1.0,0.6395441889762878,0.36045587062835693
1.0,0.528883695602417,0.4711163341999054
1.0,0.6066681146621704,0.3933318853378296
1.0,0.5856209397315979,0.4143790900707245
1.0,0.5018026828765869,0.4981973469257355
1.0,0.5120462775230408,0.4879537522792816
1.0,0.5031646490097046,0.4968353509902954
1.0,0.4547283351421356,0.545271635055542
1.0,0.4059374928474426,0.5940625071525574
1.0,0.40626096725463867,0.5937389731407166
1.0,0.6094744801521301,0.39052554965019226
1.0,0.43139296770095825,0.5686070322990417
1.0,0.5872198343276978,0.41278016567230225
1.0,0.625831663608551,0.374168336391449
1.0,0.5455441474914551,0.4544558525085449
1.0,0.4602593183517456,0.5397406816482544
1.0,0.3632988929748535,0.6367010474205017
1.0,0.643131673336029,0.35686829686164856
1.0,0.6089035868644714,0.3910963535308838
1.0,0.6320058107376099,0.36799418926239014
1.0,0.6205153465270996,0.379484623670578
1.0,0.5881063342094421,0.4118936061859131
1.0,0.5760003924369812,0.4239995777606964
1.0,0.6188752055168152,0.3811248242855072
1.0,0.5438122153282166,0.45618778467178345
1.0,0.6278893351554871,0.37211060523986816
1.0,0.6315044164657593,0.3684955835342407
0.0,0.9939016103744507,0.006098359823226929
0.0,0.9920422434806824,0.00795772485435009
